election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
legislatives_2024,1,,,988,98801,Belep,BELEP,0001,933,538,395,535,0,3,Mairie,MAIRIE,0.7,Waala,Belep,LIEU_DIT_NC,VILLE,,163.6480110596638,-19.71203277091468,tribus_villages_nc,3,101,Bélep
legislatives_2024,1,,,988,98802,Bouloupari,BOULOUPARI,0001,931,624,307,615,2,7,Mairie,MAIRIE,0.98,Mairie de Boulouparis,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Boulouparis,166.047711423762,-21.8654175541592,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,,,988,98802,Bouloupari,BOULOUPARI,0002,720,494,226,489,4,1,Centre Culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,,,988,98802,Bouloupari,BOULOUPARI,0003,783,570,213,561,7,2,Mairie (Maison des associations),MAIRIE MAISON ASSOCIATIONS,0.93,Maison des Associations,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Autre équipement socio-éducatif et socio-culturel,166.047082551458,-21.8655893376649,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,,,988,98802,Bouloupari,BOULOUPARI,0004,911,610,301,600,3,7,Centre culturel,CENTRE CULTUREL,0.833,Centre Socioculturel,,CULTUREL ET SOCIO EDUCATIF,Equipements socio-éducatifs et socio-culturels,Foyer socio culturel,166.049037015845,-21.8654352350015,etablissements_publics_nc,88,201,Boulouparis village
legislatives_2024,1,,,988,98803,Bourail,BOURAIL,0001,742,497,245,483,10,4,Mairie,MAIRIE,0.98,Mairie de Bourail,,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Bourail,165.497503614793,-21.5680444203004,etablissements_publics_nc,125,301,Bourail village
legislatives_2024,1,,,988,98803,Bourail,BOURAIL,0002,868,547,321,539,2,6,Pothé,POTHE,0.93,Ecole de Pothé,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole pré-élémentaire,165.491900847299,-21.4547330481005,etablissements_publics_nc,128,305,Ny
legislatives_2024,1,,,988,98803,Bourail,BOURAIL,0003,1011,713,298,696,12,5,Colisée,COLISEE,0.93,Le Colisée - Salle de spectacle,,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Salle de concert,165.49385205691,-21.5656940047007,etablissements_publics_nc,125,301,Bourail village
legislatives_2024,1,,,988,98803,Bourail,BOURAIL,0004,1112,787,325,772,7,8,École Les Lys d’Eau,ECOLE LYS D EAU,0.85,Ecole primaire Les Lys d'Eau,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.49748641875,-21.5730483252455,etablissements_publics_nc,125,301,Bourail village
legislatives_2024,1,,,988,98803,Bourail,BOURAIL,0005,1019,708,311,693,11,4,École Louise Michel,ECOLE LOUISE MICHEL,0.859,Ecole primaire Louise Michel,,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,165.497379452405,-21.57045570157,etablissements_publics_nc,125,301,Bourail village
legislatives_2024,1,,,988,98804,Canala,CANALA,0001,415,291,124,285,3,3,Mairie,MAIRIE,0.7,CANALA,Canala,LIEU_DIT_NC,VILLE,Xârâcùù,165.96392757417755,-21.522084905801098,tribus_villages_nc,136,401,Canala village
legislatives_2024,1,,,988,98804,Canala,CANALA,0002,506,339,167,338,0,1,Nakéty,NAKETY,1,Nakéty,Canala,LIEU_DIT_NC,TRIBU,Nèkètè,166.04631481753384,-21.54222544058342,tribus_villages_nc,137,403,Gélima - Nakéty
legislatives_2024,1,,,988,98804,Canala,CANALA,0003,460,313,147,311,0,2,Nanon,NANON,0.95,Nanon-Kénérou,Canala,LIEU_DIT_NC,TRIBU,Nèno - Kénéru,165.88480729759476,-21.546697208816735,tribus_villages_nc,136,401,Canala village
legislatives_2024,1,,,988,98804,Canala,CANALA,0004,821,600,221,598,0,2,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
legislatives_2024,1,,,988,98804,Canala,CANALA,0005,752,538,214,534,2,2,Gélima,GELIMA,1,Gélima,Canala,LIEU_DIT_NC,TRIBU,Jari Mwâ,165.98151543430086,-21.534392845846163,tribus_villages_nc,137,403,Gélima - Nakéty
legislatives_2024,1,,,988,98804,Canala,CANALA,0006,318,210,108,210,0,0,Mérénémé,MERENEME,1,Mérénémé,Canala,LIEU_DIT_NC,TRIBU,,165.92818615112122,-21.514857403632252,tribus_villages_nc,136,401,Canala village
legislatives_2024,1,,,988,98804,Canala,CANALA,0007,348,211,137,210,0,1,Tenda Koumendi,TENDA KOUMENDI,1,Tenda,Canala,LIEU_DIT_NC,TRIBU,Tèda Nèxinyi,166.03563428874068,-21.545648677139223,tribus_villages_nc,137,403,Gélima - Nakéty
legislatives_2024,1,,,988,98805,Dumbéa,DUMBEA,0001,1123,715,408,698,12,5,Hôtel de Ville 1,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2024,1,,,988,98805,Dumbéa,DUMBEA,0002,939,587,352,571,10,6,Hôtel de ville 2,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2024,1,,,988,98805,Dumbéa,DUMBEA,0003,1047,667,380,650,12,5,Hôtel de ville 3,MAIRIE,0.93,Mairie du Nord de Dumbéa,777 ROUTE TERRITORIALE N°1,ADMINISTRATION ET ORGANISME,Administrations des collectivités,Administration de la commune de Dumbéa,166.457501065839,-22.1675460417822,etablissements_publics_nc,149,512,Plaine de Koé
legislatives_2024,1,,,988,98805,Dumbéa,DUMBEA,0004,1041,656,385,634,18,4,Ecole primaire Mainguet 1,ECOLE PRIMAIRE MAINGUET,0.952,Ecole primaire Jack Mainguet,73 RUE JEAN FRANCOIS LAPEROUSE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.474584305922,-22.2148395317313,etablissements_publics_nc,138,501,Coeur de ville urbain
legislatives_2024,1,,,988,98805,Dumbéa,DUMBEA,0005,656,360,296,349,6,5,Ecole primaire Mainguet 2,ECOLE PRIMAIRE MAINGUET,0.952,Ecole primaire Jack Mainguet,73 RUE JEAN FRANCOIS LAPEROUSE,ENSEIGNEMENT ET FORMATION,Enseignement du premier degré,Ecole primaire,166.474584305922,-22.2148395317313,etablissements_publics_nc,138,501,Coeur de ville urbain
legislatives_2024,1,,,988,98805,Dumbéa,DUMBEA,0006,987,646,341,623,16,7,Maison de la jeunesse 1,MAISON JEUNESSE,1,Maison de la jeunesse,26 AVENUE D'AUTEUIL,CULTUREL ET SOCIO EDUCATIF,Equipements culturels,Centre culturel maison culturelle et centre d'art,166.474913290828,-22.2056811434969,etablissements_publics_nc,144,507,Jacarandas II
